date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2024-01-02T00:00:00.000Z,5.31,5.57,5.27,5.45,6728259,5.31,5.57,5.27,5.45,6728259,0.0,1.0
2024-01-03T00:00:00.000Z,5.1,5.21,5.05,5.17,6560048,5.1,5.21,5.05,5.17,6560048,0.0,1.0
2024-01-04T00:00:00.000Z,5.47,5.5501,5.1,5.12,7896187,5.47,5.5501,5.1,5.12,7896187,0.0,1.0
2024-01-05T00:00:00.000Z,5.4,5.615,5.36,5.45,5835688,5.4,5.615,5.36,5.45,5835688,0.0,1.0
2024-01-08T00:00:00.000Z,5.55,5.65,5.32,5.42,6530831,5.55,5.65,5.32,5.42,6530831,0.0,1.0
2024-01-09T00:00:00.000Z,5.45,5.67,5.4,5.66,6822537,5.45,5.67,5.4,5.66,6822537,0.0,1.0
2024-01-10T00:00:00.000Z,5.34,5.4783,5.27,5.45,5999249,5.34,5.4783,5.27,5.45,5999249,0.0,1.0
2024-01-11T00:00:00.000Z,5.16,5.32,5.06,5.3,6273160,5.16,5.32,5.06,5.3,6273160,0.0,1.0
2024-01-12T00:00:00.000Z,5.17,5.35,5.11,5.19,4361582,5.17,5.35,5.11,5.19,4361582,0.0,1.0
2024-01-16T00:00:00.000Z,4.94,5.16,4.88,5.11,6317870,4.94,5.16,4.88,5.11,6317870,0.0,1.0
2024-01-17T00:00:00.000Z,4.92,5.015,4.8555,4.9,4845566,4.92,5.015,4.8555,4.9,4845566,0.0,1.0
2024-01-18T00:00:00.000Z,4.85,5.05,4.77,5.0,4912931,4.85,5.05,4.77,5.0,4912931,0.0,1.0
2024-01-19T00:00:00.000Z,4.86,4.9,4.69,4.9,4340320,4.86,4.9,4.69,4.9,4340320,0.0,1.0
2024-01-22T00:00:00.000Z,5.05,5.07,4.85,4.9,5269768,5.05,5.07,4.85,4.9,5269768,0.0,1.0
2024-01-23T00:00:00.000Z,5.08,5.22,5.035,5.1,3484596,5.08,5.22,5.035,5.1,3484596,0.0,1.0
2024-01-24T00:00:00.000Z,5.03,5.245,4.97,5.17,3405418,5.03,5.245,4.97,5.17,3405418,0.0,1.0
2024-01-25T00:00:00.000Z,4.92,5.11,4.83,5.11,4034878,4.92,5.11,4.83,5.11,4034878,0.0,1.0
2024-01-26T00:00:00.000Z,4.88,5.02,4.85,4.94,2506188,4.88,5.02,4.85,4.94,2506188,0.0,1.0
2024-01-29T00:00:00.000Z,5.14,5.14,4.88,4.88,3040108,5.14,5.14,4.88,4.88,3040108,0.0,1.0
2024-01-30T00:00:00.000Z,4.98,5.11,4.92,5.08,3265772,4.98,5.11,4.92,5.08,3265772,0.0,1.0
2024-01-31T00:00:00.000Z,4.85,5.16,4.85,4.975,5797092,4.85,5.16,4.85,4.975,5797092,0.0,1.0
2024-02-01T00:00:00.000Z,4.02,4.29,3.89,4.19,61536960,4.02,4.29,3.89,4.19,61536960,0.0,1.0
2024-02-02T00:00:00.000Z,3.975,4.02,3.92,4.01,47872620,3.975,4.02,3.92,4.01,47872620,0.0,1.0
2024-02-05T00:00:00.000Z,4.07,4.11,3.95,3.98,11193080,4.07,4.11,3.95,3.98,11193080,0.0,1.0
2024-02-06T00:00:00.000Z,4.26,4.26,4.03,4.04,10817050,4.26,4.26,4.03,4.04,10817050,0.0,1.0
2024-02-07T00:00:00.000Z,4.27,4.47,4.19,4.29,8081276,4.27,4.47,4.19,4.29,8081276,0.0,1.0
2024-02-08T00:00:00.000Z,4.3,4.3594,4.23,4.28,6020072,4.3,4.3594,4.23,4.28,6020072,0.0,1.0
2024-02-09T00:00:00.000Z,4.34,4.42,4.24,4.39,6984726,4.34,4.42,4.24,4.39,6984726,0.0,1.0
2024-02-12T00:00:00.000Z,4.72,4.79,4.435,4.435,15404890,4.72,4.79,4.435,4.435,15404890,0.0,1.0
2024-02-13T00:00:00.000Z,4.44,4.65,4.38,4.58,8760413,4.44,4.65,4.38,4.58,8760413,0.0,1.0
2024-02-14T00:00:00.000Z,4.8,4.82,4.39,4.57,10111762,4.8,4.82,4.39,4.57,10111762,0.0,1.0
